2023/06/07 16:28:38,484 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Starting Servlet engine: [Apache Tomcat/9.0.75]
 -2023/06/07 16:58:01,213 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-7]- Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
 -2023/06/07 16:58:21,901 [INFO ]  [org.hibernate.validator.internal.util.Version] [background-preinit]- HV000001: Hibernate Validator 6.2.5.Final
 -2023/06/07 16:58:21,918 [INFO ]  [org.springframework.boot.StartupInfoLogger] [restartedMain]- Starting DemoApplication using Java 1.8.0_202 on JSK with PID 18220 (C:\Users\kstur\IdeaProjects\Prac02\target\classes started by kstur in C:\Users\kstur\IdeaProjects\Prac02)
 -2023/06/07 16:58:21,919 [DEBUG]  [org.springframework.boot.StartupInfoLogger] [restartedMain]- Running with Spring Boot v2.7.12, Spring v5.3.27
 -2023/06/07 16:58:21,920 [INFO ]  [org.springframework.boot.SpringApplication] [restartedMain]- No active profile set, falling back to 1 default profile: "default"
 -2023/06/07 16:58:21,973 [INFO ]  [org.springframework.boot.logging.DeferredLog] [restartedMain]- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
 -2023/06/07 16:58:21,973 [INFO ]  [org.springframework.boot.logging.DeferredLog] [restartedMain]- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
 -2023/06/07 16:58:22,200 [INFO ]  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [restartedMain]- Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
 -2023/06/07 16:58:22,206 [INFO ]  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [restartedMain]- Finished Spring Data repository scanning in 4 ms. Found 0 JDBC repository interfaces.
 -2023/06/07 16:58:22,434 [INFO ]  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [restartedMain]- Tomcat initialized with port(s): 3000 (http)
 -2023/06/07 16:58:22,441 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Initializing ProtocolHandler ["http-nio-3000"]
 -2023/06/07 16:58:22,441 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Starting service [Tomcat]
 -2023/06/07 16:58:22,441 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Starting Servlet engine: [Apache Tomcat/9.0.75]
 -2023/06/07 16:58:22,537 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Initializing Spring embedded WebApplicationContext
 -2023/06/07 16:58:22,537 [INFO ]  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] [restartedMain]- Root WebApplicationContext: initialization completed in 564 ms
 -2023/06/07 16:58:22,895 [INFO ]  [org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer] [restartedMain]- LiveReload server is running on port 35729
 -2023/06/07 16:58:22,901 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Starting ProtocolHandler ["http-nio-3000"]
 -2023/06/07 16:58:22,908 [INFO ]  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [restartedMain]- Tomcat started on port(s): 3000 (http) with context path ''
 -2023/06/07 16:58:22,913 [INFO ]  [org.springframework.boot.StartupInfoLogger] [restartedMain]- Started DemoApplication in 1.193 seconds (JVM running for 1.578)
 -2023/06/07 16:58:26,595 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [http-nio-3000-exec-1]- Initializing Spring DispatcherServlet 'dispatcherServlet'
 -2023/06/07 16:58:26,595 [INFO ]  [org.springframework.web.servlet.FrameworkServlet] [http-nio-3000-exec-1]- Initializing Servlet 'dispatcherServlet'
 -2023/06/07 16:58:26,596 [INFO ]  [org.springframework.web.servlet.FrameworkServlet] [http-nio-3000-exec-1]- Completed initialization in 1 ms
 -2023/06/07 16:58:26,605 [ERROR]  [com.example.demo.controller.ExceptionController] [http-nio-3000-exec-1]- handleHttpRequestMethodNotSupportedException: Request method 'GET' not supported
 -2023/06/07 16:58:26,634 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-1]- Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
 -2023/06/07 17:00:53,681 [INFO ]  [org.hibernate.validator.internal.util.Version] [background-preinit]- HV000001: Hibernate Validator 6.2.5.Final
 -2023/06/07 17:00:53,696 [INFO ]  [org.springframework.boot.StartupInfoLogger] [restartedMain]- Starting DemoApplication using Java 1.8.0_202 on JSK with PID 10204 (C:\Users\kstur\IdeaProjects\Prac02\target\classes started by kstur in C:\Users\kstur\IdeaProjects\Prac02)
 -2023/06/07 17:00:53,697 [DEBUG]  [org.springframework.boot.StartupInfoLogger] [restartedMain]- Running with Spring Boot v2.7.12, Spring v5.3.27
 -2023/06/07 17:00:53,698 [INFO ]  [org.springframework.boot.SpringApplication] [restartedMain]- No active profile set, falling back to 1 default profile: "default"
 -2023/06/07 17:00:53,743 [INFO ]  [org.springframework.boot.logging.DeferredLog] [restartedMain]- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
 -2023/06/07 17:00:53,744 [INFO ]  [org.springframework.boot.logging.DeferredLog] [restartedMain]- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
 -2023/06/07 17:00:53,975 [INFO ]  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [restartedMain]- Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
 -2023/06/07 17:00:53,980 [INFO ]  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [restartedMain]- Finished Spring Data repository scanning in 3 ms. Found 0 JDBC repository interfaces.
 -2023/06/07 17:00:54,202 [INFO ]  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [restartedMain]- Tomcat initialized with port(s): 3000 (http)
